what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1452720872500
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1452720872502
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1452720872503
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1452720872504
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1452720872505
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1452720872506
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1452720872516
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1452720872518
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1452720872519
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1452720872520
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1452720872521
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1452720872521
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1452720872522
os,sysinfo,,,"win32",1452720872561
arch,sysinfo,,,"x86_64",1452720872561
ws,sysinfo,,,"win32",1452720872561
locale,sysinfo,,,"en_IN",1452720872561
processors,sysinfo,,,"4",1452720872561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452720872561
java.runtime.version,sysinfo,,,"1.8.0_11-b12",1452720872561
java.specification.name,sysinfo,,,"Java Platform API Specification",1452720872561
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452720872561
java.specification.version,sysinfo,,,"1.8",1452720872561
java.vendor,sysinfo,,,"Oracle Corporation",1452720872561
java.version,sysinfo,,,"1.8.0_11",1452720872561
java.vm.info,sysinfo,,,"mixed mode",1452720872561
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1452720872561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452720872561
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452720872561
java.vm.specification.version,sysinfo,,,"1.8",1452720872561
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452720872561
java.vm.version,sysinfo,,,"25.11-b03",1452720872561
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1452720872570
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1452720873494
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1452720873808
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1452720873920
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1452720874159
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1452720874185
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1452720874734
